"url","currentHttpCode","lastAccess"
"/?pt=apartment&a=100&ct=maintenance","200","13.08.2025"
"/?pt=apartment&a=50&ct=maintenance","200","13.08.2025"
"/blog/best-cleaning-products","200","13.08.2025"
"/districts","200","13.08.2025"
"/klining-moskva-vao","308","13.08.2025"
"/klining-moskva-zao","308","13.08.2025"
"/klining-prays-moskva","308","13.08.2025"
"/klining-stoimost-moskva","308","13.08.2025"
"/moyka-okon-cena-moskva","308","13.08.2025"
"/prices","200","13.08.2025"
"/services","200","13.08.2025"
"/uborka-na-ulitse-bolshaya-polyanka-moskva","500","13.08.2025"
"/uborka-na-ulitse-nikolo-yamskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-petrovka-moskva","500","13.08.2025"
"/uborka-na-ulitse-rozhdestvenskiy-bulvar-moskva","500","13.08.2025"
"/uborka-na-ulitse-sadovaya-kudrinskaya-moskva","500","13.08.2025"
"/uborka-ofisov-cena-moskva","308","13.08.2025"
"/","200","13.08.2025"
"/glubokaya-chistka-napolnyh-pokrytiy-moskva","500","13.08.2025"
"/klining-moskva-cao","308","13.08.2025"
"/klining-zakazat-moskva","500","13.08.2025"
"/kliningovaya-kompaniya-moskva-centr","308","13.08.2025"
"/kliningovye-uslugi-moskva","308","13.08.2025"
"/poslezaezdnaya-uborka-moskva","500","13.08.2025"
"/services/dry-cleaning/","308","13.08.2025"
"/uborka-cena-za-chas-moskva","308","13.08.2025"
"/uborka-na-ulitse-nagatinskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-ozernaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-presnenskaya-naberezhnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-profsouzhnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-sokolniki-moskva","500","13.08.2025"
"/uborka-posle-domashnih-zhivotnyh-moskva","500","13.08.2025"
"/?_ym_status-check=103567092&_ym_lang=ru&pt=apartment&a=50&ct=maintenance","200","13.08.2025"
"/?pt=apartment&a=100&ct=eco&s=windows%2Cbathroom%2Cbalcony","200","13.08.2025"
"/calculator/","308","13.08.2025"
"/kliningovaya-kompaniya-moskva","308","13.08.2025"
"/services/office-cleaning","200","13.08.2025"
"/shlifovka-polov-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-yakimanka-moskva-2","500","13.08.2025"
"/uborka-na-ulitse-patriarshie-prudy-moskva","500","13.08.2025"
"/uborka-na-ulitse-sretenka-moskva","500","13.08.2025"
"/uborka-na-ulitse-taganskaya-moskva","500","13.08.2025"
"/?pt=house&a=100&ct=maintenance","200","13.08.2025"
"/klining-moskva-svao","308","13.08.2025"
"/poslesdachnaya-uborka-moskva","500","13.08.2025"
"/uborka-kvartiry-cena-moskva","308","13.08.2025"
"/uborka-na-ulitse-kantemirovskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-krasnaya-presnya-moskva","500","13.08.2025"
"/uborka-na-ulitse-lublinskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-myasnitskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-novyj-arbat-moskva","500","13.08.2025"
"/uborka-na-ulitse-sadovaya-spasskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-sadovaya-triumfalnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-shosse-entuziastov-moskva","500","13.08.2025"
"/uborka-na-ulitse-tekstilshchiki-moskva","500","13.08.2025"
"/uborka-na-ulitse-tverskoy-bulvar-moskva","500","13.08.2025"
"/uborka-na-ulitse-vavilova-moskva","500","13.08.2025"
"/uborka-posle-pereezda-ofis-moskva","500","13.08.2025"
"/uborka-restorana-moskva","500","13.08.2025"
"/uborka-territorii-moskva","500","13.08.2025"
"/uborka-v-vyhodnye-moskva","500","13.08.2025"
"/calculator","200","13.08.2025"
"/dezinfekciya-kvartiry-moskva","500","13.08.2025"
"/districts","200","13.08.2025"
"/ezhemesyachnaya-uborka-moskva","500","13.08.2025"
"/generalnaya-uborka-kvartiry-moskva","500","13.08.2025"
"/klining-moskva-zao","308","13.08.2025"
"/klining-prays-moskva","308","13.08.2025"
"/klining-s-vyezdom-moskva","500","13.08.2025"
"/klining-skladov-moskva","500","13.08.2025"
"/kliningovaya-kompaniya-moskva","308","13.08.2025"
"/kliningovaya-kompaniya-moskva-centr","308","13.08.2025"
"/nochnaya-uborka-moskva","500","13.08.2025"
"/prices","200","13.08.2025"
"/raschet-stoimosti-uborki-moskva","308","13.08.2025"
"/services","200","13.08.2025"
"/services/house-cleaning/","308","13.08.2025"
"/services/office-cleaning/","308","13.08.2025"
"/uborka-kafe-moskva","500","13.08.2025"
"/uborka-kvartiry-cena-moskva","308","13.08.2025"
"/uborka-kvartiry-posle-remonta-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-bronnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-cheryomushkinskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-nikitinskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-nikitskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-sadovaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-serpukhovskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-dmitrovskoe-shosse-moskva","500","13.08.2025"
"/uborka-na-ulitse-frunzenskaya-naberezhnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-komsomolskiy-prospekt-moskva","500","13.08.2025"
"/uborka-na-ulitse-malaya-dmitrovka-moskva","500","13.08.2025"
"/uborka-na-ulitse-malaya-gruzinskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-marksistskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-michurinskiy-prospekt-moskva","500","13.08.2025"
"/uborka-na-ulitse-nakhimovskiy-prospekt-moskva","500","13.08.2025"
"/uborka-na-ulitse-novyj-arbat-moskva","500","13.08.2025"
"/uborka-na-ulitse-prospekt-marshala-zhukova-moskva","500","13.08.2025"
"/uborka-na-ulitse-sadovaya-samotechnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-sadovaya-spasskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-sadovaya-triumfalnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-sofiyskaya-naberezhnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-timiryazevskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-ulitsa-1905-goda-moskva","500","13.08.2025"
"/uborka-na-ulitse-volokolamskoe-shosse-moskva","500","13.08.2025"
"/uborka-posle-arendatorov-moskva","500","13.08.2025"
"/uborka-snega-moskva","500","13.08.2025"
"/?_ym_debug=2&pt=apartment&a=50&ct=maintenance","200","13.08.2025"
"/?_ym_status-check=103567092&_ym_lang=ru&pt=apartment&a=50&ct=maintenance","200","13.08.2025"
"/?pt=apartment&a=50&ct=maintenance","200","13.08.2025"
"/?pt=house&a=100&ct=maintenance","200","13.08.2025"
"/ezhenedelnaya-uborka-moskva","500","13.08.2025"
"/himchistka-kovrolina-moskva","500","13.08.2025"
"/himchistka-shtor-moskva","500","13.08.2025"
"/klining-moskva-svao","308","13.08.2025"
"/klining-moskva-vao","308","13.08.2025"
"/podderzhivayuschaya-uborka-kvartiry-moskva","500","13.08.2025"
"/poslezaezdnaya-uborka-moskva","500","13.08.2025"
"/razovaya-uborka-kvartiry-moskva","500","13.08.2025"
"/services/additional-services","200","13.08.2025"
"/services/house-cleaning","200","13.08.2025"
"/services/post-renovation-cleaning","200","13.08.2025"
"/services/post-renovation-cleaning/","308","13.08.2025"
"/services/window-cleaning","200","13.08.2025"
"/services/window-cleaning/","308","13.08.2025"
"/uborka-gostinic-moskva","500","13.08.2025"
"/uborka-na-ulitse-altufevskoe-shosse-moskva","500","13.08.2025"
"/uborka-na-ulitse-balaklavskiy-prospekt-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-dmitrovka-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-ordynka-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-polyanka-moskva","500","13.08.2025"
"/uborka-na-ulitse-bolshaya-yakimanka-moskva","500","13.08.2025"
"/uborka-na-ulitse-chistoprudnyj-bulvar-moskva","500","13.08.2025"
"/uborka-na-ulitse-hodynskiy-bulvar-moskva","500","13.08.2025"
"/uborka-na-ulitse-kantemirovskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-krasnaya-presnya-moskva","500","13.08.2025"
"/uborka-na-ulitse-kremlevskaya-naberezhnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-kutuzovskiy-prospekt-moskva","500","13.08.2025"
"/uborka-na-ulitse-lomonosovskiy-prospekt-moskva","500","13.08.2025"
"/uborka-na-ulitse-lublinskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-malaya-bronnaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-malaya-pirogovskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-myasnitskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-nikitskiy-bulvar-moskva","500","13.08.2025"
"/uborka-na-ulitse-nikolo-yamskaya-moskva","500","13.08.2025"
"/uborka-na-ulitse-ostozhenka-moskva","500","13.08.2025"
"/uborka-na-ulitse-planernaya-moskva","500","13.08.2025"
