"lastAccess","title","url","httpCode","status","target"
"10.08.2025","FAQ - Часто задаваемые вопросы о клининге | K-lining | K-lining","https://k-lining.ru/faq","200","LOW_DEMAND","https://k-lining.ru/faq"
"10.08.2025","Уборка по районам Москвы — быстрый выезд, 24/7 | K-lining | K-lining","https://k-lining.ru/districts","200","LOW_DEMAND","https://k-lining.ru/districts"
"10.08.2025","Условия использования | KliningPro | K-lining","https://k-lining.ru/terms","200","META_NO_INDEX",""
"10.08.2025","Химчистка мебели: полное руководство 2025 года | Блог K-lining | K-lining","https://k-lining.ru/blog/dry-cleaning-guide","200","LOW_DEMAND","https://k-lining.ru/blog/dry-cleaning-guide"
"10.08.2025","Наша команда - K-lining | K-lining","https://k-lining.ru/about/team","200","LOW_DEMAND","https://k-lining.ru/about/team"
"10.08.2025","Как выбрать клининговую компанию в Москве: полный гид 2025 | K-lining | K-lining","https://k-lining.ru/blog/how-to-choose-reliable-cleaning-company-moscow","200","LOW_DEMAND","https://k-lining.ru/blog/how-to-choose-reliable-cleaning-company-moscow"
"10.08.2025","Уборка квартир в Москве недорого — цены 2025, рейтинг компаний | K-lining | K-lining","https://k-lining.ru/blog/apartment-cleaning-price-moscow","200","LOW_DEMAND","https://k-lining.ru/blog/apartment-cleaning-price-moscow"
"10.08.2025","Клининговая компания в Москве - рейтинг лучших, цены 2025 | K-lining | K-lining","https://k-lining.ru/blog/cleaning-company-moscow","200","LOW_DEMAND","https://k-lining.ru/blog/cleaning-company-moscow"
"10.08.2025","О компании KliningPro - профессиональная клининговая компания в Москве | K-lining","https://k-lining.ru/about","200","LOW_DEMAND","https://k-lining.ru/about"
"10.08.2025","Уборка в Басманном районе — офис рядом, выезд 30 минут | K-lining | K-lining","https://k-lining.ru/districts/basmannyy","200","LOW_DEMAND","https://k-lining.ru/districts/basmannyy"
"10.08.2025","График уборки офиса: что и когда чистить | Блог KliningPro | K-lining","https://k-lining.ru/blog/office-cleaning-schedule","200","LOW_DEMAND","https://k-lining.ru/blog/office-cleaning-schedule"
"10.08.2025","Генеральная уборка квартиры в Москве: чек-лист, цены 2025 | K-lining | K-lining","https://k-lining.ru/blog/general-apartment-cleaning-checklist-prices","200","LOW_DEMAND",""
"10.08.2025","Инструменты для уборки: полный гид профессионала | Блог K-lining | K-lining","https://k-lining.ru/blog/cleaning-tools-guide","200","LOW_DEMAND","https://k-lining.ru/blog/cleaning-tools-guide"
"10.08.2025","Уборка офисов в Москве 24/7 - клининг офисных помещений | KliningPro | K-lining","https://k-lining.ru/blog/office-cleaning-moscow-24-7","200","LOW_DEMAND","https://k-lining.ru/blog/office-cleaning-moscow-24-7"
"10.08.2025","Карьера - K-lining | K-lining","https://k-lining.ru/careers","200","LOW_DEMAND","https://k-lining.ru/careers"
"10.08.2025","Клининг для бизнеса в Москве — КП за 10 минут, 24/7 | K-lining | K-lining","https://k-lining.ru/corporate","200","LOW_DEMAND","https://k-lining.ru/corporate"
"10.08.2025","Политика конфиденциальности | KliningPro | K-lining","https://k-lining.ru/privacy","200","META_NO_INDEX",""
"10.08.2025","Топ-10 профессиональных средств для уборки 2025 года | Блог K-lining | K-lining","https://k-lining.ru/blog/best-cleaning-products","200","LOW_DEMAND","https://k-lining.ru/blog/best-cleaning-products"
